,open,high,low,close,volume
2025-10-31,288.46,298.88,288.0,298.43,2687516.0
2025-11-03,298.43,301.0,292.12,296.3,2753331.0
2025-11-04,298.71,299.06,294.48,296.7,3412532.0
2025-11-05,303.125,322.98,302.13,319.86,5477908.0
2025-11-06,319.1,321.31,312.52,315.59,3330531.0
2025-11-07,316.08,321.42,314.0,320.2,2665384.0
2025-11-10,320.595,326.18,319.54,323.66,2518593.0
2025-11-11,323.42,338.55,323.42,338.45,3136543.0
2025-11-12,338.64,342.4,335.815,336.28,2941162.0
2025-11-13,337.9,345.84,335.12,336.0,3413466.0
2025-11-14,336.74,339.8,330.35,336.74,3310332.0
2025-11-17,337.64,344.06,336.825,341.71,2996550.0
2025-11-18,343.73,345.49,339.3,343.99,2966636.0
2025-11-19,343.47,345.29,340.02,342.4,2129822.0
2025-11-20,344.52,345.09,335.0,336.07,3184112.0
2025-11-21,334.87,342.84,334.74,337.54,4128726.0
2025-11-24,335.84,338.66,331.705,334.3,3551616.0
2025-11-25,335.41,341.73,335.41,341.11,2868739.0
2025-11-26,341.525,345.03,340.001,344.57,2333053.0
2025-11-28,344.0,345.66,342.26,345.46,1268802.0
2025-12-01,343.07,343.98,336.25,337.49,2384122.0
